Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.0: Broker1: Trying to Create VM #386 in Datacenter_0
0.0: Broker1: Trying to Create VM #255 in Datacenter_0
0.0: Broker1: Trying to Create VM #510 in Datacenter_0
0.0: Broker1: Trying to Create VM #598 in Datacenter_0
0.0: Broker1: Trying to Create VM #58 in Datacenter_0
0.0: Broker1: Trying to Create VM #103 in Datacenter_0
0.0: Broker1: Trying to Create VM #158 in Datacenter_0
0.0: Broker1: Trying to Create VM #415 in Datacenter_0
0.0: Broker1: Trying to Create VM #92 in Datacenter_0
0.0: Broker1: Trying to Create VM #296 in Datacenter_0
0.0: Broker1: Trying to Create VM #111 in Datacenter_0
0.0: Broker1: Trying to Create VM #171 in Datacenter_0
0.0: Broker1: Trying to Create VM #576 in Datacenter_0
0.0: Broker1: Trying to Create VM #209 in Datacenter_0
0.0: Broker1: Trying to Create VM #570 in Datacenter_0
0.0: Broker1: Trying to Create VM #312 in Datacenter_0
0.0: Broker1: Trying to Create VM #524 in Datacenter_0
0.0: Broker1: Trying to Create VM #394 in Datacenter_0
0.0: Broker1: Trying to Create VM #225 in Datacenter_0
0.0: Broker1: Trying to Create VM #222 in Datacenter_0
0.0: Broker1: Trying to Create VM #317 in Datacenter_0
0.0: Broker1: Trying to Create VM #293 in Datacenter_0
0.0: Broker1: Trying to Create VM #430 in Datacenter_0
0.0: Broker1: Trying to Create VM #189 in Datacenter_0
0.0: Broker1: Trying to Create VM #157 in Datacenter_0
0.0: Broker1: Trying to Create VM #391 in Datacenter_0
0.0: Broker1: Trying to Create VM #445 in Datacenter_0
0.0: Broker1: Trying to Create VM #110 in Datacenter_0
0.0: Broker1: Trying to Create VM #233 in Datacenter_0
0.0: Broker1: Trying to Create VM #187 in Datacenter_0
0.0: Broker1: Trying to Create VM #333 in Datacenter_0
0.0: Broker1: Trying to Create VM #224 in Datacenter_0
0.0: Broker1: Trying to Create VM #437 in Datacenter_0
0.0: Broker1: Trying to Create VM #76 in Datacenter_0
0.0: Broker1: Trying to Create VM #372 in Datacenter_0
0.0: Broker1: Trying to Create VM #263 in Datacenter_0
0.0: Broker1: Trying to Create VM #514 in Datacenter_0
0.0: Broker1: Trying to Create VM #465 in Datacenter_0
0.0: Broker1: Trying to Create VM #340 in Datacenter_0
0.0: Broker1: Trying to Create VM #505 in Datacenter_0
0.0: Broker1: Trying to Create VM #287 in Datacenter_0
0.0: Broker1: Trying to Create VM #585 in Datacenter_0
0.0: Broker1: Trying to Create VM #440 in Datacenter_0
0.0: Broker1: Trying to Create VM #373 in Datacenter_0
0.0: Broker1: Trying to Create VM #118 in Datacenter_0
0.0: Broker1: Trying to Create VM #392 in Datacenter_0
0.0: Broker1: Trying to Create VM #230 in Datacenter_0
0.0: Broker1: Trying to Create VM #562 in Datacenter_0
0.0: Broker1: Trying to Create VM #444 in Datacenter_0
0.0: Broker1: Trying to Create VM #396 in Datacenter_0
0.0: Broker1: Trying to Create VM #596 in Datacenter_0
0.0: Broker1: Trying to Create VM #398 in Datacenter_0
0.0: Broker1: Trying to Create VM #574 in Datacenter_0
0.0: Broker1: Trying to Create VM #47 in Datacenter_0
0.0: Broker1: Trying to Create VM #206 in Datacenter_0
0.0: Broker1: Trying to Create VM #149 in Datacenter_0
0.0: Broker1: Trying to Create VM #57 in Datacenter_0
0.0: Broker1: Trying to Create VM #534 in Datacenter_0
0.0: Broker1: Trying to Create VM #247 in Datacenter_0
0.0: Broker1: Trying to Create VM #489 in Datacenter_0
0.0: Broker1: Trying to Create VM #142 in Datacenter_0
0.0: Broker1: Trying to Create VM #453 in Datacenter_0
0.0: Broker1: Trying to Create VM #472 in Datacenter_0
0.0: Broker1: Trying to Create VM #443 in Datacenter_0
0.0: Broker1: Trying to Create VM #409 in Datacenter_0
0.0: Broker1: Trying to Create VM #446 in Datacenter_0
0.0: Broker1: Trying to Create VM #484 in Datacenter_0
0.0: Broker1: Trying to Create VM #584 in Datacenter_0
0.0: Broker1: Trying to Create VM #407 in Datacenter_0
0.0: Broker1: Trying to Create VM #375 in Datacenter_0
0.0: Broker1: Trying to Create VM #537 in Datacenter_0
0.0: Broker1: Trying to Create VM #349 in Datacenter_0
0.0: Broker1: Trying to Create VM #127 in Datacenter_0
0.0: Broker1: Trying to Create VM #499 in Datacenter_0
0.0: Broker1: Trying to Create VM #137 in Datacenter_0
0.0: Broker1: Trying to Create VM #286 in Datacenter_0
0.0: Broker1: Trying to Create VM #88 in Datacenter_0
0.0: Broker1: Trying to Create VM #212 in Datacenter_0
0.0: Broker1: Trying to Create VM #542 in Datacenter_0
0.0: Broker1: Trying to Create VM #420 in Datacenter_0
0.0: Broker1: Trying to Create VM #553 in Datacenter_0
0.0: Broker1: Trying to Create VM #470 in Datacenter_0
0.0: Broker1: Trying to Create VM #278 in Datacenter_0
0.0: Broker1: Trying to Create VM #344 in Datacenter_0
0.0: Broker1: Trying to Create VM #450 in Datacenter_0
0.0: Broker1: Trying to Create VM #458 in Datacenter_0
0.0: Broker1: Trying to Create VM #577 in Datacenter_0
0.0: Broker1: Trying to Create VM #144 in Datacenter_0
0.0: Broker1: Trying to Create VM #461 in Datacenter_0
0.0: Broker1: Trying to Create VM #337 in Datacenter_0
0.0: Broker1: Trying to Create VM #147 in Datacenter_0
0.0: Broker1: Trying to Create VM #4 in Datacenter_0
0.0: Broker1: Trying to Create VM #85 in Datacenter_0
0.0: Broker1: Trying to Create VM #231 in Datacenter_0
0.0: Broker1: Trying to Create VM #401 in Datacenter_0
0.0: Broker1: Trying to Create VM #107 in Datacenter_0
0.0: Broker1: Trying to Create VM #246 in Datacenter_0
0.0: Broker1: Trying to Create VM #100 in Datacenter_0
0.0: Broker1: Trying to Create VM #306 in Datacenter_0
0.0: Broker1: Trying to Create VM #463 in Datacenter_0
0.0: Broker1: Trying to Create VM #11 in Datacenter_0
0.0: Broker1: Trying to Create VM #232 in Datacenter_0
0.0: Broker1: Trying to Create VM #244 in Datacenter_0
